PERMNO,date,TICKER,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
14593,20200611,AAPL,335.48001,351.06000,335.89999,335.79001,335.89999,349.31000
14593,20200612,AAPL,334.22330,347.79999,338.79999,338.53000,338.73999,344.72000
14593,20200615,AAPL,332.57999,345.67999,342.98999,342.98999,343.07999,333.25000
14593,20200616,AAPL,344.72000,353.20001,352.07999,352.13000,352.26001,351.45999
14593,20200617,AAPL,351.09000,355.39999,351.59000,351.23999,351.25000,355.14999
14593,20200618,AAPL,349.22000,353.45001,351.73001,351.57999,351.59000,351.41000
14593,20200619,AAPL,345.14999,356.56000,349.72000,349.50000,349.51001,354.63501
14593,20200622,AAPL,351.14999,359.45999,358.87000,358.87000,358.89999,351.34000
14593,20200623,AAPL,362.27011,372.38000,366.53000,366.35001,366.42001,364.00000
14593,20200624,AAPL,358.51999,368.79001,360.06000,359.94000,360.06000,365.00000
14593,20200625,AAPL,357.57001,365.00000,364.84000,364.82999,364.88000,360.70001
14593,20200626,AAPL,353.01999,365.32001,353.63000,353.63000,353.92001,364.41000
14593,20200629,AAPL,351.28000,362.17361,361.78000,361.94000,362.00000,353.25000
14593,20200630,AAPL,360.00000,365.98001,364.79999,364.59000,364.59000,360.07999
14593,20200701,AAPL,363.91000,367.35999,364.10999,364.00000,364.07999,365.12000
14593,20200702,AAPL,363.64001,370.47000,364.10999,364.10999,364.13000,367.85001
14593,20200706,AAPL,369.87000,375.78000,373.85001,373.81000,373.85999,370.00000
14593,20200707,AAPL,372.23001,378.62000,372.69000,372.62000,372.69000,375.41000
14593,20200708,AAPL,376.35999,381.50000,381.37000,381.25000,381.38000,376.72000
14593,20200709,AAPL,378.69000,385.26999,382.73001,382.64999,382.66000,385.04999
14593,20200710,AAPL,378.82071,383.92001,383.67999,383.51999,383.63000,381.34000
14593,20200713,AAPL,381.03000,399.82001,381.91000,381.79999,381.92001,389.06000
14593,20200714,AAPL,375.51001,389.01999,388.23001,388.16000,388.20999,379.35999
14593,20200715,AAPL,385.95999,396.98999,390.89999,390.91000,390.98999,395.95999
14593,20200716,AAPL,383.62000,389.62000,386.09000,386.23001,386.25000,386.25000
14593,20200717,AAPL,383.35999,388.59000,385.31000,385.14999,385.23001,387.95001
14593,20200720,AAPL,384.25000,394.00000,393.42999,393.32999,393.42999,385.66501
14593,20200721,AAPL,386.97000,397.00000,388.00000,387.92999,388.00000,396.69000
14593,20200722,AAPL,386.41000,391.89999,389.09000,389.07999,389.09000,386.76999
14593,20200723,AAPL,368.03900,388.31000,371.38000,371.44000,371.45999,387.99399
14593,20200724,AAPL,356.57999,371.88000,370.45999,370.42001,370.47000,363.95001
14593,20200727,AAPL,373.92001,379.62000,379.23999,379.14999,379.23999,374.84000
14593,20200728,AAPL,372.98999,378.19861,373.01001,373.00000,373.07999,377.47000
14593,20200729,AAPL,374.85001,380.92001,380.16000,380.20999,380.29001,375.00000
14593,20200730,AAPL,375.07001,385.19000,384.76001,384.87000,385.09000,376.75000
14593,20200731,AAPL,403.29999,425.66000,425.04001,425.17999,425.48999,411.53500
14593,20200803,AAPL,431.57001,446.54568,435.75000,435.66000,435.75000,432.79999
14593,20200804,AAPL,433.54999,443.16000,438.66000,438.66000,438.81000,436.53000
14593,20200805,AAPL,435.59000,441.57001,440.25000,440.25000,440.37000,437.51001
14593,20200806,AAPL,439.19000,457.64999,455.60999,455.81000,455.88000,441.62000
14593,20200807,AAPL,441.17001,454.70001,444.45001,444.41000,444.45001,452.82001
14593,20200810,AAPL,440.00000,455.10001,450.91000,450.94000,450.98999,450.39999
14593,20200811,AAPL,436.42670,449.92999,437.50000,437.47000,437.51999,447.87500
